Number	Genotype	Location	Treatment	Height	Root_length	Yield
1	GE_1	Bonn	T	22.27573	18.911348	149.6148
2	GE_1	Bonn	N	53.35362	20.923011	151.0124
3	GE_1	Cologne	T	45.08251	14.31079	145.3708
4	GE_1	Cologne	N	52.47572	19.164253	152.5497
5	GE_2	Bonn	T	21.08301	21.76464	150.1298
6	GE_2	Bonn	N	47.48507	15.341368	147.4639
7	GE_2	Cologne	T	46.34643	15.990194	147.0186
8	GE_2	Cologne	N	56.21228	25.884787	153.6735
9	GE_3	Bonn	T	22.24373	10.963465	142.6255
10	GE_3	Bonn	N	45.69879	13.224158	143.3145
11	GE_3	Cologne	T	55.11987	22.871234	154.8998
12	GE_3	Cologne	N	46.11888	15.890118	144.7941
13	GE_4	Bonn	T	26.48174	24.236865	155.747
14	GE_4	Bonn	N	57.18933	27.548032	157.6734
15	GE_4	Cologne	T	48.5901	17.459144	148.3645
16	GE_4	Cologne	N	58.9476	28.674125	159.5529
17	GE_5	Bonn	T	28.77601	16.030122	148.3546
18	GE_5	Bonn	N	55.52507	21.336014	153.9092
19	GE_5	Cologne	T	51.35524	19.314047	150.6051
20	GE_5	Cologne	N	50.02023	19.524787	150.1289
21	GE_6	Bonn	T	11.76593	21.695362	153.6399
22	GE_6	Bonn	N	48.10022	20.37893	151.8264
23	GE_6	Cologne	T	59.40524	28.226636	156.9162
24	GE_6	Cologne	N	57.31358	25.527304	157.815
25	GE_7	Bonn	T	28.00213	11.096414	139.6112
26	GE_7	Bonn	N	53.16242	21.730111	154.0577
27	GE_7	Cologne	T	56.8436	25.839735	157.3017
28	GE_7	Cologne	N	56.6205	26.587824	158.0623
29	GE_8	Bonn	T	10.61462	19.763642	150.8499
30	GE_8	Bonn	N	50.78395	19.851774	150.2252
31	GE_8	Cologne	T	51.93461	18.284419	151.0099
32	GE_8	Cologne	N	48.95645	17.426872	150.5905
33	GE_9	Bonn	T	12.62346	23.122905	152.9775
34	GE_9	Bonn	N	54.33646	23.073582	153.3808
35	GE_9	Cologne	T	57.63575	27.662106	158.9966
36	GE_9	Cologne	N	49.87601	19.233275	151.3141
37	GE_10	Bonn	T	13.42278	22.584016	152.7731
38	GE_10	Bonn	N	43.63637	12.350221	142.594
39	GE_10	Cologne	T	47.18605	16.719104	148.2081
40	GE_10	Cologne	N	45.55449	16.480949	147.2586
41	GE_11	Bonn	T	50.13256	20.764297	152.2232
42	GE_11	Bonn	N	45.07541	12.964487	146.7018
43	GE_11	Cologne	T	51.23163	22.814814	151.2202
44	GE_11	Cologne	N	56.4212	22.478343	154.8207
45	GE_12	Bonn	T	46.45964	16.225294	146.3567
46	GE_12	Bonn	N	52.5284	23.842471	155.4996
47	GE_12	Cologne	T	42.16689	10.345054	141.4075
48	GE_12	Cologne	N	37.39772	7.879037	138.4146
49	GE_13	Bonn	T	47.37045	17.168203	145.5075
50	GE_13	Bonn	N	53.28557	22.61742	153.7463
51	GE_13	Cologne	T	53.0997	21.859711	152.8523
52	GE_13	Cologne	N	45.8666	16.122916	147.7362
53	GE_14	Bonn	T	16.5726	17.019281	146.1735
54	GE_14	Bonn	N	47.62923	16.263898	147.2154
55	GE_14	Cologne	T	50.89048	19.208195	151.6457
56	GE_14	Cologne	N	47.37298	17.179063	147.3533
57	GE_15	Bonn	T	19.11934	14.312839	147.249
58	GE_15	Bonn	N	44.8289	13.602989	144.9243
59	GE_15	Cologne	T	51.52072	21.378024	153.1039
60	GE_15	Cologne	N	54.49995	23.924436	154.7172
61	GE_16	Bonn	T	11.93309	25.001727	154.4072
62	GE_16	Bonn	N	35.997	2.340047	135.5791
63	GE_16	Cologne	T	49.45716	17.70629	149.2575
64	GE_16	Cologne	N	55.06565	22.306868	154.2606
65	GE_17	Bonn	T	59.12203	29.052718	158.2762
66	GE_17	Bonn	N	52.21267	22.130227	153.0462
67	GE_17	Cologne	T	53.95027	23.644822	153.6038
68	GE_17	Cologne	N	53.55107	21.18131	153.1592
69	GE_18	Bonn	T	62.85905	30.540836	163.6156
70	GE_18	Bonn	N	51.62628	19.974989	151.2638
71	GE_18	Cologne	T	48.63433	18.15054	149.285
72	GE_18	Cologne	N	53.39665	23.482515	154.057
73	GE_19	Bonn	T	41.16882	11.388066	142.1926
74	GE_19	Bonn	N	48.21514	17.584366	148.0338
75	GE_19	Cologne	T	44.5006	13.913789	144.2977
76	GE_19	Cologne	N	47.87403	14.774462	147.8946
77	GE_20	Bonn	T	45.89013	15.746005	148.6748
78	GE_20	Bonn	N	51.92819	21.250654	153.3462
79	GE_20	Cologne	T	57.74294	26.878885	157.1147
80	GE_20	Cologne	N	55.1728	23.43377	152.2892
81	GE_21	Bonn	T	10.36199	27.565313	159.7653
82	GE_21	Bonn	N	50.94564	19.440827	153.2646
83	GE_21	Cologne	T	49.93398	18.612413	148.5151
84	GE_21	Cologne	N	47.42787	17.924992	148.9951
85	GE_22	Bonn	T	18.84437	17.62109	149.5565
86	GE_22	Bonn	N	39.95924	12.644465	142.2506
87	GE_22	Cologne	T	45.30646	11.707238	146.029
88	GE_22	Cologne	N	34.05515	5.743209	135.7742
89	GE_23	Bonn	T	45.38115	16.083548	145.2824
90	GE_23	Bonn	N	48.37766	19.092962	149.0977
91	GE_23	Cologne	T	55.85256	24.431641	154.1559
92	GE_23	Cologne	N	47.20947	14.701478	145.8758
93	GE_24	Bonn	T	18.13639	19.069945	149.7554
94	GE_24	Bonn	N	55.02156	24.181946	155.2807
95	GE_24	Cologne	T	46.9122	17.125014	148.0494
