	Cpower	Horsepower	Speed	Weight	Width	Length
Citroen_C2	1024	61	158	922	1659	3666
Smart_Fortwo	698	52	135	730	1515	2500
Mini	1498	160	218	1115	1690	3625
Nissan_Micra	1240	65	154	965	1660	3715
Renault_Clio	2246	205	245	1400	1210	3812
Audi_A3	1896	105	187	1295	1765	4203
Peugeot_307	1298	70	160	1179	1746	4202
Peugeo_V6	2746	211	209	1640	1811	4676
Mercedes_Classe	2185	170	220	1600	1728	4528
BMW_530d	2893	218	245	1295	1346	4841
Jaguar_S	2720	207	230	1622	1818	4905
BMW_745i	4398	303	210	1870	1902	5029
Mercedes_S	3066	260	250	1915	2092	5038
Citroen_C3	1587	110	185	1177	1300	3934
BMW_Z4	2094	192	235	1260	1781	4091
Audi_TT	1081	180	228	1280	1764	4041
Aston_Martin	5035	460	306	1835	1923	4665
Bentley_Continental	5198	560	318	2385	1918	4804
Ferrari_Enzo	5698	660	320	1365	2350	4700
Renault_Scenic	1870	120	188	1430	1805	4259
VW_Touran_TDI	1896	105	180	1498	1794	4391
LandRover_Defender	2195	122	135	1595	1790	3883
LandRover_Discovery	2195	138	157	2075	2190	4705
Nissan_X	2084	136	180	1520	1765	4455

