Number	Genotype	Location	Height	Root_length	Yield
Line1	GE_1	Bonn	52.27573	18.911348	149.6148
Line2	GE_1	Cologne	53.35362	20.923011	151.0124
Line3	GE_2	Bonn	45.08251	14.31079	145.3708
Line4	GE_2	Cologne	52.47572	19.164253	152.5497
Line5	GE_3	Bonn	51.08301	21.76464	150.1298
Line6	GE_3	Cologne	47.48507	15.341368	147.4639
Line7	GE_4	Bonn	46.34643	15.990194	147.0186
Line8	GE_4	Cologne	56.21228	25.884787	153.6735
Line9	GE_5	Bonn	42.24373	10.963465	142.6255
Line10	GE_5	Cologne	45.69879	13.224158	143.3145
Line11	GE_6	Bonn	55.11987	22.871234	154.8998
Line12	GE_6	Cologne	46.11888	15.890118	144.7941
Line13	GE_7	Bonn	56.48174	24.236865	155.747
Line14	GE_7	Cologne	57.18933	27.548032	157.6734
Line15	GE_8	Bonn	48.5901	17.459144	148.3645
Line16	GE_8	Cologne	58.9476	28.674125	159.5529
Line17	GE_9	Bonn	48.77601	16.030122	148.3546
Line18	GE_9	Cologne	55.52507	21.336014	153.9092
Line19	GE_10	Bonn	51.35524	19.314047	150.6051
Line20	GE_10	Cologne	50.02023	19.524787	150.1289
Line21	GE_11	Bonn	51.76593	21.695362	153.6399
Line22	GE_11	Cologne	48.10022	20.37893	151.8264
Line23	GE_12	Bonn	59.40524	28.226636	156.9162
Line24	GE_12	Cologne	57.31358	25.527304	157.815
Line25	GE_13	Bonn	38.00213	11.096414	139.6112
Line26	GE_13	Cologne	53.16242	21.730111	154.0577
Line27	GE_14	Bonn	56.8436	25.839735	157.3017
Line28	GE_14	Cologne	56.6205	26.587824	158.0623
Line29	GE_15	Bonn	50.61462	19.763642	150.8499
Line30	GE_15	Cologne	50.78395	19.851774	150.2252
Line31	GE_16	Bonn	51.93461	18.284419	151.0099
Line32	GE_16	Cologne	48.95645	17.426872	150.5905
Line33	GE_17	Bonn	52.62346	23.122905	152.9775
Line34	GE_17	Cologne	54.33646	23.073582	153.3808
Line35	GE_18	Bonn	57.63575	27.662106	158.9966
Line36	GE_18	Cologne	49.87601	19.233275	151.3141
Line37	GE_19	Bonn	53.42278	22.584016	152.7731
Line38	GE_19	Cologne	43.63637	12.350221	142.594
Line39	GE_20	Bonn	47.18605	16.719104	148.2081
Line40	GE_20	Cologne	45.55449	16.480949	147.2586
Line41	GE_21	Bonn	50.13256	20.764297	152.2232
Line42	GE_21	Cologne	45.07541	12.964487	146.7018
Line43	GE_22	Bonn	51.23163	22.814814	151.2202
Line44	GE_22	Cologne	56.4212	22.478343	154.8207
Line45	GE_23	Bonn	46.45964	16.225294	146.3567
Line46	GE_23	Cologne	52.5284	23.842471	155.4996
Line47	GE_24	Bonn	42.16689	10.345054	141.4075
Line48	GE_24	Cologne	37.39772	7.879037	138.4146
Line49	GE_25	Bonn	47.37045	17.168203	145.5075
Line50	GE_25	Cologne	53.28557	22.61742	153.7463
Line51	GE_26	Bonn	53.0997	21.859711	152.8523
Line52	GE_26	Cologne	45.8666	16.122916	147.7362
Line53	GE_27	Bonn	46.5726	17.019281	146.1735
Line54	GE_27	Cologne	47.62923	16.263898	147.2154
Line55	GE_28	Bonn	50.89048	19.208195	151.6457
Line56	GE_28	Cologne	47.37298	17.179063	147.3533
Line57	GE_29	Bonn	49.11934	14.312839	147.249
Line58	GE_29	Cologne	44.8289	13.602989	144.9243
Line59	GE_30	Bonn	51.52072	21.378024	153.1039
Line60	GE_30	Cologne	54.49995	23.924436	154.7172
Line61	GE_31	Bonn	51.93309	25.001727	154.4072
Line62	GE_31	Cologne	35.997	2.340047	135.5791
Line63	GE_32	Bonn	49.45716	17.70629	149.2575
Line64	GE_32	Cologne	55.06565	22.306868	154.2606
Line65	GE_33	Bonn	59.12203	29.052718	158.2762
Line66	GE_33	Cologne	52.21267	22.130227	153.0462
Line67	GE_34	Bonn	53.95027	23.644822	153.6038
Line68	GE_34	Cologne	53.55107	21.18131	153.1592
Line69	GE_35	Bonn	62.85905	30.540836	163.6156
Line70	GE_35	Cologne	51.62628	19.974989	151.2638
Line71	GE_36	Bonn	48.63433	18.15054	149.285
Line72	GE_36	Cologne	53.39665	23.482515	154.057
Line73	GE_37	Bonn	41.16882	11.388066	142.1926
Line74	GE_37	Cologne	48.21514	17.584366	148.0338
Line75	GE_38	Bonn	44.5006	13.913789	144.2977
Line76	GE_38	Cologne	47.87403	14.774462	147.8946
Line77	GE_39	Bonn	45.89013	15.746005	148.6748
Line78	GE_39	Cologne	51.92819	21.250654	153.3462
Line79	GE_40	Bonn	57.74294	26.878885	157.1147
Line80	GE_40	Cologne	55.1728	23.43377	152.2892
Line81	GE_41	Bonn	60.36199	27.565313	159.7653
Line82	GE_41	Cologne	50.94564	19.440827	153.2646
Line83	GE_42	Bonn	49.93398	18.612413	148.5151
Line84	GE_42	Cologne	47.42787	17.924992	148.9951
Line85	GE_43	Bonn	48.84437	17.62109	149.5565
Line86	GE_43	Cologne	39.95924	12.644465	142.2506
Line87	GE_44	Bonn	45.30646	11.707238	146.029
Line88	GE_44	Cologne	34.05515	5.743209	135.7742
Line89	GE_45	Bonn	45.38115	16.083548	145.2824
Line90	GE_45	Cologne	48.37766	19.092962	149.0977
Line91	GE_46	Bonn	55.85256	24.431641	154.1559
Line92	GE_46	Cologne	47.20947	14.701478	145.8758
Line93	GE_47	Bonn	48.13639	19.069945	149.7554
Line94	GE_47	Cologne	55.02156	24.181946	155.2807
Line95	GE_48	Bonn	46.9122	17.125014	148.0494
