Location	Type	Year	Yield
Location1 	sorte1	2001	NA
Location1 	sorte1	2001	100.5515265598
Location1 	sorte1	2001	95.3954639927
Location1 	sorte1	2001	94.9198415845
Location1 	sorte1	2001	100.2212317395
Location1 	sorte1	2001	99.3102810993
Location1 	sorte1	2001	99.6598679487
Location1 	sorte1	2001	97.4876520017
Location1 	sorte1	2001	96.1322043285
Location1 	sorte1	2001	100.208596554
Location1 	sorte1	2001	98.9582878369
Location1 	sorte1	2001	101.5105814925
Location1 	sorte1	2001	97.9189340217
Location1 	sorte1	2001	100.2345732405
Location1 	sorte1	2001	95.5607384248
Location1 	sorte1	2001	92.1510444213
Location1 	sorte1	2001	99.4171296311
Location1 	sorte1	2001	99.5273290635
Location1 	sorte1	2001	98.3495949588
Location1 	sorte1	2001	99.6199272523
Location1 	sorte1	2001	95.1793110813
Location1 	sorte1	2001	95.8730515786
Location1 	sorte1	2001	101.8403389499
Location1 	sorte1	2001	100.3846362959
Location1 	sorte1	2001	98.8572419017
Location1 	sorte1	2001	98.4342933061
Location1 	sorte1	2001	96.838281032
Location1 	sorte1	2001	99.3900093384
Location1 	sorte1	2001	100.0534398223
Location1 	sorte1	2001	98.2144225607
Location1 	sorte1	2001	96.4530448409
Location1 	sorte1	2001	101.7597631067
Location1 	sorte1	2001	101.5464445641
Location1 	sorte1	2001	96.3255261836
Location1 	sorte1	2001	98.474933622
Location1 	sorte1	2001	97.5868692965
Location1 	sorte1	2001	95.6618239319
Location1 	sorte1	2001	99.389091413
Location1 	sorte1	2001	94.1690723123
Location1 	sorte1	2001	99.565074249
Location1 	sorte1	2001	98.6894297393
Location1 	sorte1	2001	97.964151331
Location1 	sorte1	2001	100.6731520701
Location1 	sorte1	2001	96.5747186069
Location1 	sorte1	2001	99.461104309
Location1 	sorte1	2001	100.0769396194
Location1 	sorte1	2001	102.2192571168
Location1 	sorte1	2001	99.1467405193
Location1 	sorte1	2001	96.1563819941
Location1 	sorte1	2001	101.8752370695
Location1 	sorte1	2002	100.9198525039
Location1 	sorte1	2002	100.5706541647
Location1 	sorte1	2002	100.1497580627
Location1 	sorte1	2002	100.2456901939
Location1 	sorte1	2002	100.1587212303
