Region	year	City	Land_price	Apartment_price		
South	2001	Cologne	20.91	44.4
South	2001	Cologne	21.48	42.68
South	2001	Cologne	19.86	43.11
South	2001	Cologne	23.12	42.03
South	2001	Cologne	24.51	44.19
South	2001	Cologne	22.08	39.76
South	2001	Cologne	17.93	33.3
South	2001	Cologne	16.92	38.96
South	2001	Cologne	21.18	40.96
South	2001	Cologne	19.05	40.9
South	2001	Cologne	17.72	37.38
South	2001	Cologne	18.55	36.98
South	2001	Cologne	21.28	41.4
South	2001	Cologne	19.67	38.53
South	2001	Cologne	20.54	46.78
South	2001	Cologne	20.01	41.88
South	2001	Cologne	18.78	41.61
South	2001	Cologne	19.83	42.85
South	2001	Cologne	20.49	43.7
South	2001	Cologne	19.72	37.94
South	2001	Essen	23.39	44.1
South	2001	Essen	20.92	42
South	2001	Essen	21.11	41.23
South	2001	Essen	19.41	45.11
South	2001	Essen	15.81	39.65
South	2001	Essen	19.5	38.3
South	2001	Essen	21.71	42.73
South	2001	Essen	19.39	42.29
South	2001	Essen	18.93	41.82
South	2001	Essen	19.91	41.15
South	2001	Essen	22.58	45.31
South	2001	Essen	21.59	41.04
South	2001	Essen	23.71	43.12
South	2001	Essen	18.48	40.75
South	2001	Essen	22.5	41.29
South	2001	Essen	18.55	35.96
South	2001	Essen	18.84	39.91
South	2001	Essen	19.33	40.59
South	2001	Essen	19.62	41.93
South	2001	Essen	18.52	40.02
South	2002	Cologne	19.32	38.44
South	2002	Cologne	24.27	42.44
South	2002	Cologne	22.47	42.99
South	2002	Cologne	24.25	39
South	2002	Cologne	18.13	37.29
South	2002	Cologne	22.3	39.61
South	2002	Cologne	15.92	35.59
South	2002	Cologne	15.72	35.04
South	2002	Cologne	22.13	40.23
South	2002	Cologne	20.12	38.96
South	2002	Cologne	22.12	43.09
South	2002	Cologne	21.56	41.7
South	2002	Cologne	19.4	36.08
South	2002	Cologne	18.71	36.08
South	2002	Cologne	19.94	42.4
South	2002	Cologne	24.82	43.84
South	2002	Cologne	22.15	43.28
South	2002	Cologne	17.69	39.4
South	2002	Cologne	21.29	41.7
South	2002	Cologne	22.63	47.81
South	2002	Essen	17.85	36.82
