Number, Genotype, Location, Height, root_length
Line1, GE_1, Hamburg, 25, 6.892278
Line2, GE_1, Cologne, 27, 4.090926
Line3, GE_2, Hamburg, 28, 6.137261
Line4, GE_2, Cologne, 29, 5.786898
Line5, GE_3, Hamburg, 26, 5.984405
Line6, GE_3, Cologne, 28, 4.774799
Line7, GE_4, Hamburg, 29, 5.081266
Line8, GE_4, Cologne, 30, 6.719661
Line9, GE_5, Hamburg, 27, 5.083407
Line10, GE_5, Cologne, 29, 7.71196
Line11, GE_6, Hamburg, 30, 6.310874
Line12, GE_6, Cologne, 31, 5.393862
Line13, GE_7, Hamburg, 28, 6.249551
Line14, GE_7, Cologne, 30, 6.536492
Line15, GE_8, Hamburg, 31, 7.556937
Line16, GE_8, Cologne, 32, 7.572235
Line17, GE_9, Hamburg, 29, 6.480959
Line18, GE_9, Cologne, 31, 7.039519
Line19, GE_10, Hamburg, 32, 7.087308
Line20, GE_10, Cologne, 33, 6.894308
Line21, GE_11, Hamburg, 30, 4.040787
Line22, GE_11, Cologne, 32, 4.34581
Line23, GE_12, Hamburg, 33, 7.06605
Line24, GE_12, Cologne, 34, 7.550107
Line25, GE_13, Hamburg, 31, 7.008419
Line26, GE_13, Cologne, 33, 7.885629
Line27, GE_14, Hamburg, 34, 5.350792
Line28, GE_14, Cologne, 35, 5.878677
Line29, GE_15, Hamburg, 32, 7.179034
Line30, GE_15, Cologne, 34, 7.408561
Line31, GE_16, Hamburg, 35, 5.962032
Line32, GE_16, Cologne, 36, 6.527536
Line33, GE_17, Hamburg, 33, 4.776895
Line34, GE_17, Cologne, 35, 5.046296
Line35, GE_18, Hamburg, 36, 6.916548
Line36, GE_18, Cologne, 37, 7.361516
Line37, GE_19, Hamburg, 34, 5.132347
Line38, GE_19, Cologne, 36, 7.138954
Line39, GE_20, Hamburg, 37, 7.780615
Line40, GE_20, Cologne, 38, 6.718357
Line41, GE_21, Hamburg, 35, 5.472267
Line42, GE_21, Cologne, 37, 5.084746
Line43, GE_22, Hamburg, 38, 4.755461
Line44, GE_22, Cologne, 39, 6.058005
Line45, GE_23, Hamburg, 36, 5.970464
Line46, GE_23, Cologne, 38, 5.352734
Line47, GE_24, Hamburg, 39, 7.077767
Line48, GE_24, Cologne, 40, 7.397782
Line49, GE_25, Hamburg, 37, 6.243771
Line50, GE_25, Cologne, 39, 4.923734
Line51, GE_26, Hamburg, 40, 5.45079
Line52, GE_26, Cologne, 41, 6.485962
Line53, GE_27, Hamburg, 38, 7.687504
Line54, GE_27, Cologne, 40, 5.836442
Line55, GE_28, Hamburg, 41, 6.65272
Line56, GE_28, Cologne, 42, 5.983949
Line57, GE_29, Hamburg, 39, 5.847249
Line58, GE_29, Cologne, 41, 5.218762
Line59, GE_30, Hamburg, 42, 5.557571
Line60, GE_30, Cologne, 43, 5.2496
Line61, GE_31, Hamburg, 40, 6.516217
Line62, GE_31, Cologne, 42, 6.038032
Line63, GE_32, Hamburg, 43, 6.810977
Line64, GE_32, Cologne, 44, 7.120211
Line65, GE_33, Hamburg, 41, 4.809653
Line66, GE_33, Cologne, 43, 6.73541
Line67, GE_34, Hamburg, 44, 5.01704
Line68, GE_34, Cologne, 45, 5.859364
Line69, GE_35, Hamburg, 42, 5.514036
Line70, GE_35, Cologne, 44, 5.010342
Line71, GE_36, Hamburg, 45, 7.141126
Line72, GE_36, Cologne, 46, 6.847067
Line73, GE_37, Hamburg, 43, 4.889603
Line74, GE_37, Cologne, 45, 5.617618
Line75, GE_38, Hamburg, 46, 4.704865
Line76, GE_38, Cologne, 47, 5.24785
Line77, GE_39, Hamburg, 44, 5.766312
Line78, GE_39, Cologne, 46, 6.058428
Line79, GE_40, Hamburg, 47, 5.080659
Line80, GE_40, Cologne, 48, 4.220033
Line81, GE_41, Hamburg, 45, 4.889567
Line82, GE_41, Cologne, 47, 6.706444
Line83, GE_42, Hamburg, 48, 7.420411
Line84, GE_42, Cologne, 49, 6.473929
Line85, GE_43, Hamburg, 46, 7.087223
Line86, GE_43, Cologne, 48, 4.599261
Line87, GE_44, Hamburg, 49, 7.917513
Line88, GE_44, Cologne, 50, 5.760414
Line89, GE_45, Hamburg, 47, 7.109625
Line90, GE_45, Cologne, 49, 7.120269
Line91, GE_46, Hamburg, 50, 7.707279
Line92, GE_46, Cologne, 51, 5.563518
Line93, GE_47, Hamburg, 48, 4.676452
Line94, GE_47, Cologne, 50, 6.574635
Line95, GE_48, Hamburg, 51, 7.037542
Line96, GE_48, Cologne, 52, 5.938233
Line97, GE_49, Hamburg, 49, 6.973443
Line98, GE_49, Cologne, 51, 4.876489
Line99, GE_50, Hamburg, 52, 7.927658
Line100, GE_50, Cologne, 53, 5.747406

