Genotype	Region	Loc	Height	Yield
19	Bale	1	82.8465	38.9677
19	Bale	2	73.6415	34.8074
41	Sidamo	1	88.1556	32.8589
41	Sidamo	2	71.4682	28.7211
44	Sidamo	1	85.229	35.0066
44	Sidamo	2	71.4682	28.1342
46	Sidamo	1	85.229	33.8351
46	Sidamo	2	71.4682	28.3299
51	Gojjam	1	80.0344	43.2964
51	Gojjam	2	66.9068	37.207
61	Sidamo	1	83.6521	55.8984
61	Sidamo	2	69.9773	49.9298
63	Shewa	1	81.6987	37.6506
63	Shewa	2	62.5232	32.9127
64	Tigray	1	84.3927	37.8247
64	Tigray	2	68.6089	32.7183
65	Sidamo	1	86.5787	38.1306
65	Sidamo	2	72.9232	34.9636
79	Tigray	1	84.3927	44.4632
79	Tigray	2	69.5908	39.1743
82	Sidamo	1	92.4318	41.4499
82	Sidamo	2	87.6527	45.6258
105	Harerge	1	83.0625	36.7941
105	Harerge	2	71.494	38.0134
115	Sidamo	1	83.6521	45.5502
115	Sidamo	2	68.9953	38.8763
136	Gamo	1	90.7055	32.7606
136	Gamo	2	79.9297	30.0363
163	Tigray	1	83.3368	40.1677
163	Tigray	2	69.2716	39.3096
170	Tigray	1	77.4837	43.6822
170	Tigray	2	68.2897	31.8754
175	Bale	1	77.3395	41.7012
175	Bale	2	69.4441	34.4316
186	Harerge	1	85.961	37.3799
186	Harerge	2	71.7334	34.4275
199	Bale	1	81.2416	38.3819
199	Bale	2	70.4261	34.236
220	Harerge	1	80.1078	41.0896
220	Harerge	2	69.7695	39.7097
223	Gamo	1	78.0761	30.2223
223	Gamo	2	69.6867	30.1301
1	Tigray	1	85.9696	44.8537
1	Tigray	2	71.0818	39.0944
6	Bale	1	86.7486	41.1154
6	Bale	2	73.6415	46.0565
7	Bale	1	86.7486	40.7249
7	Bale	2	68.7317	45.5674
9	Gamo	1	76.7544	33.9321
9	Gamo	2	65.0464	31.6797
11	Gonder	1	86.5531	37.8012
11	Gonder	2	76.3033	39.373
12	Shewa	1	83.2755	35.3076
12	Shewa	2	71.8699	33.811
16	Sidamo	1	79.3759	56.4842
16	Sidamo	2	71.4682	51.6106
20	Harerge	1	87.5659	40.5039
20	Harerge	2	72.9849	38.6182
22	Sidamo	1	81.3269	54.9222
22	Sidamo	2	71.4682	46.035
29	Gojjam	1	77.1078	44.2726
29	Gojjam	2	67.8888	42.0001
30	Harerge	1	89.5169	44.0184
30	Harerge	2	72.9849	43.02
33	Sidamo	1	91.0821	37.5449
33	Sidamo	2	79.324	31.6557
36	Sidamo	1	87.18	44.1834
36	Sidamo	2	72.4502	39.2855
37	Bale	1	79.9199	39.7487
37	Bale	2	70.6956	37.4485
38	Gamo	1	90.4117	41.7421
38	Gamo	2	72.9021	34.3208
39	Gonder	1	69.9692	47.9542
39	Gonder	2	62.5558	37.9057
40	Gamo	1	77.73	38.2276
40	Gamo	2	67.9923	29.4299
45	Sidamo	1	85.229	41.8404
45	Sidamo	2	71.4682	38.503
47	Shewa	1	76.4469	49.9514
47	Shewa	2	64.0142	35.4739
52	Tigray	1	84.0186	43.0965
52	Tigray	2	70.0998	38.7032
53	Sidamo	1	85.229	52.9697
53	Sidamo	2	70.4863	45.0568
54	Harerge	1	89.5169	43.8232
54	Harerge	2	72.9849	36.9553
55	Wollo	1	90.3279	44.699
55	Wollo	2	79.2735	35.5139
57	Bale	1	88.6996	40.7249
57	Bale	2	73.6415	37.0572
59	Sidamo	1	86.5787	37.3496
59	Sidamo	2	72.9232	30.2683
67	Harerge	1	85.989	58.0765
67	Harerge	2	72.4759	34.4919
72	Shewa	1	79.7476	47.9989
72	Shewa	2	65.4691	37.4123
73	Bale	1	86.1472	41.8964
73	Bale	2	73.1325	40.1695
75	Gojjam	1	83.3351	38.2199
75	Gojjam	2	68.3617	33.0807
78	Sidamo	1	82.6766	53.9459
78	Sidamo	2	70.9592	49.8319
80	Tigray	1	81.4662	42.706
80	Tigray	2	69.5908	37.5114
81	Shewa	1	69.9924	40.5794
81	Shewa	2	62.5232	38.3905
85	Tigray	1	84.3927	40.7534
85	Tigray	2	70.5728	35.5551
86	Bale	1	81.2696	38.3819
86	Bale	2	71.1686	35.7677
89	Harerge	1	86.9645	41.0896
89	Harerge	2	77.3858	45.1541
91	Tigray	1	83.4172	40.7534
91	Tigray	2	70.5728	38.0983
93	Sidamo	1	87.5542	39.4974
93	Sidamo	2	77.833	37.5068
94	Wollo	1	95.5797	49.1898
94	Wollo	2	88.5842	48.7993
101	Gojjam	1	74.5554	40.7581
101	Gojjam	2	65.4158	38.3629
102	Sidamo	1	84.6276	37.3496
102	Sidamo	2	69.9773	40.5392
103	Sidamo	1	83.6521	36.1781
103	Sidamo	2	71.9412	38.5828
104	Arsi	1	82.0897	33.2954
104	Arsi	2	68.3496	32.9722
106	Harerge	1	83.0625	42.0659
106	Harerge	2	79.3497	44.8606
110	Harerge	1	85.989	40.1134
110	Harerge	2	71.494	40.6544
111	Harerge	1	86.9645	40.5039
111	Harerge	2	72.4759	37.5243
113	Gamo	1	85.9083	29.6365
113	Gamo	2	71.4112	27.1621
123	Gonder	1	94.651	43.6587
123	Gonder	2	82.3489	43.2074
124	Bale	1	79.2382	36.0389
124	Bale	2	69.8675	38.9353
125	Gojjam	1	75.4505	48.7634
125	Gojjam	2	65.0967	38.7916
128	Sidamo	1	80.6452	30.9064
128	Sidamo	2	70.6401	46.7392
129	Bale	1	85.0913	41.1154
129	Bale	2	71.8314	35.9029
130	Harerge	1	85.9086	41.0896
130	Harerge	2	75.1026	39.6159
135	Bale	1	86.0668	42.0917
135	Bale	2	73.7953	35.2182
137	Harerge	1	85.9086	39.1371
137	Harerge	2	76.0846	39.7137
138	Tigray	1	88.2144	46.611
138	Tigray	2	77.1274	44.6896
141	Gonder	1	67.3364	40.9252
141	Gonder	2	58.7817	25.4045
144	Harerge	1	82.9821	37.7704
144	Harerge	2	71.1748	32.6708
149	Tigray	1	84.3123	45.83
149	Tigray	2	70.2536	42.9289
151	Harerge	1	85.9086	37.1846
151	Harerge	2	71.1748	34.725
153	Arsi	1	81.0338	40.5197
153	Arsi	2	66.0665	39.6613
156	Arsi	1	94.6911	44.2294
156	Arsi	2	84.7239	45.2369
157	Bale	1	82.1647	39.3582
157	Bale	2	72.8134	34.0444
159	Wollo	1	84.7685	37.67
159	Wollo	2	68.6257	35.5334
160	Gonder	1	71.2385	47.3684
160	Gonder	2	56.8178	35.7732
161	Bale	1	84.1158	41.7012
161	Bale	2	73.7953	45.6848
162	Sidamo	1	82.5962	42.2309
162	Sidamo	2	69.6581	35.0988
165	Gamo	1	92.6566	58.1431
165	Gamo	2	84.8395	53.317
167	Harerge	1	83.9576	40.3086
167	Harerge	2	71.1748	35.4097
169	Bale	1	82.1647	42.0917
169	Bale	2	71.8314	33.7509
171	Shewa	1	79.6672	50.7324
171	Shewa	2	64.168	37.5476
173	Tigray	1	81.3858	45.2442
173	Tigray	2	69.2716	38.038
177	Harerge	1	85.961	47.3377
177	Harerge	2	70.7514	42.0573
178	Harerge	1	84.9854	40.8944
178	Harerge	2	70.7514	26.2108
179	Bale	1	86.1192	38.7724
179	Bale	2	73.372	35.8011
181	Gojjam	1	77.4539	45.8347
181	Gojjam	2	62.7094	31.0599
182	Bale	1	81.2416	52.6352
182	Bale	2	70.4261	31.2036
185	Sidamo	1	83.6241	51.2124
185	Sidamo	2	70.2167	44.1919
187	Sidamo	1	84.5996	34.2256
187	Sidamo	2	72.1807	28.541
188	Bale	1	86.1192	49.9017
188	Bale	2	73.372	42.3549
191	Bale	1	86.1192	39.5534
191	Bale	2	72.39	35.0185
196	Gamo	1	90.7579	45.6471
196	Gamo	2	80.4883	34.8254
197	Bale	1	84.1681	38.9677
197	Bale	2	71.4081	30.6167
198	Arsi	1	81.0861	45.2057
198	Arsi	2	65.6432	38.5812
201	Bale	1	84.1681	39.7487
201	Bale	2	70.4261	37.5618
203	Gonder	1	70.3153	41.3157
203	Gonder	2	58.3583	36.943
204	Arsi	1	80.1106	38.9577
204	Arsi	2	65.6432	31.9296
206	Bale	1	81.2416	42.2869
206	Bale	2	70.4261	39.9094
209	Sidamo	1	88.5017	40.0831
209	Sidamo	2	72.1807	32.0624
211	Sidamo	1	84.5996	32.4684
211	Sidamo	2	71.1987	26.8781
212	Gonder	1	92.7523	23.8407
212	Gonder	2	79.9616	43.4968
214	Gonder	1	71.2908	43.8539
214	Gonder	2	60.3223	39.3884
215	Sidamo	1	96.3059	47.6979
215	Sidamo	2	93.7839	55.5388
225	Gonder	1	99.581	47.5637
225	Gonder	2	85.8534	52.9852
226	Harerge	1	88.8875	46.1662
226	Harerge	2	77.6252	41.3726
231	Bale	1	84.1681	46.192
231	Bale	2	74.354	45.1916
3	Wollo	1	86.4258	45.6753
3	Wollo	2	75.3456	41.1874
4	Shewa	1	84.2511	41.5557
4	Shewa	2	73.8338	40.6583
5	Gamo	1	86.5097	59.1194
5	Gamo	2	71.9202	57.3081
8	Gamo	1	85.5341	44.0851
8	Gamo	2	71.9202	47.2328
13	Wollo	1	84.4748	36.3032
13	Wollo	2	74.3637	37.3725
15	Sidamo	1	75.4738	39.4974
15	Sidamo	2	70.4863	39.3833
21	Harerge	1	88.5414	40.1134
21	Harerge	2	77.8948	33.1404
23	Tigray	1	80.1165	45.6347
23	Tigray	2	71.0818	36.9424
25	Wollo	1	85.4503	56.9998
25	Wollo	2	78.2915	50.6757
27	Gojjam	1	77.1078	48.3729
27	Gojjam	2	67.8888	38.1851
31	Tigray	1	91.8228	44.0727
31	Tigray	2	84.8293	48.8763
32	Tigray	1	94.7493	35.0912
32	Tigray	2	85.8113	32.2667
48	Bale	1	88.6996	55.7592
48	Bale	2	74.6235	51.1431
49	Gonder	1	83.6265	41.1204
49	Gonder	2	65.5017	31.841
56	Arsi	1	88.5442	46.963
56	Arsi	2	77.6963	41.6959
69	Gamo	1	82.9817	36.2751
69	Gamo	2	70.4292	30.3901
70	Gamo	1	83.9573	50.9189
70	Gamo	2	71.4112	43.889
71	Arsi	1	80.1386	38.5672
71	Arsi	2	66.3857	40.0151
74	Gamo	1	83.9573	39.5943
74	Gamo	2	71.4112	33.6181
77	Gonder	1	88.8783	43.2682
77	Gonder	2	74.8123	40.431
83	Gamo	1	82.9817	35.8846
83	Gamo	2	71.4112	39.585
87	Harerge	1	83.0625	38.9419
87	Harerge	2	71.494	38.8937
88	Harerge	1	83.0625	38.9419
