Line	Treat	Place	Year	Hea	Height	Yield
Sca001	T	Diko	2003	72	100	41.6333
Sca001	N	Diko	2003	72	95	37.5
Sca001	T	Gudow	2003	71	84	43
Sca001	N	Gudow	2003	71	90	34
Sca001	T	Irlbach	2003	62	55	28.20512821
Sca001	N	Irlbach	2003	63	50	33.05860806
Sca001	T	Morgenrot	2003	64	100	33.784
Sca001	N	Morgenrot	2003	65	108	27.35
Sca001	T	Diko	2004	73	113.7	57.965
Sca001	N	Diko	2004	74	113.3	55.5933
Sca001	T	Gudow	2004	68	94	43.22
Sca001	N	Gudow	2004	68	105	42.56
Sca001	T	Irlbach	2004	72	70	30.4889
Sca001	N	Irlbach	2004	70	85	35.8909
Sca001	T	Morgenrot	2004	66	124	30.23
Sca001	N	Morgenrot	2004	74	110	33.852
Sca002	T	Diko	2003	69	110	24.8167
Sca002	N	Diko	2003	70	100	26.8333
Sca002	T	Gudow	2003	71	102	38.5
Sca002	N	Gudow	2003	71	92	26.75
Sca002	T	Irlbach	2003	62	60	21.33699634
Sca002	N	Irlbach	2003	62	65	21.97802198
Sca002	T	Morgenrot	2003	64	135	29.822
Sca002	N	Morgenrot	2003	63	126	17.536
Sca002	T	Diko	2004	71	123.3	47.55
Sca002	N	Diko	2004	72	122.7	50.6533
Sca002	T	Gudow	2004	68	106	37.89
Sca002	N	Gudow	2004	68	122.7	39.78
Sca002	T	Irlbach	2004	67	80	37.6305
Sca002	N	Morgenrot	2004	65	112	23.206
Sca002	T	Morgenrot	2004	71	115	31.312
Sca003	N	Diko	2003	72	110	43.1833
Sca003	T	Diko	2003	72	85	30.6667
Sca003	N	Gudow	2003	63	102	35.875
Sca003	T	Gudow	2003	63	94	24.25
Sca003	N	Irlbach	2003	65	65	21.88644689
Sca003	T	Irlbach	2003	64	65	25.82417582
Sca003	N	Morgenrot	2003	72	105	22.996
Sca003	T	Morgenrot	2003	73	124	19.402
Sca003	N	Diko	2004	69	121	49.6017
Sca003	T	Diko	2004	69	131	50.4583
Sca003	N	Gudow	2004	68	116	35.89
Sca003	T	Gudow	2004	66	100	47
Sca003	N	Irlbach	2004	72	85	26.0941
Sca003	T	Irlbach	2004	73	90	31.3129
Sca003	N	Morgenrot	2004	73	126	29.738
Sca003	T	Morgenrot	2004	64	134	27.916
Sca004	N	Diko	2003	77	90	36.4
Sca004	T	Diko	2003	77	67	34
Sca004	N	Gudow	2003	76	78	55.5
Sca004	T	Gudow	2003	78	68	45
Sca004	N	Irlbach	2003	78	50	27.47252747
Sca004	T	Irlbach	2003	77	50	30.76923077
Sca004	N	Morgenrot	2003	79	87	45.354
Sca004	T	Morgenrot	2003	79	76	34.418
Sca004	N	Diko	2004	80	100	55.7317
Sca004	T	Diko	2004	83	96	61.1117
Sca004	N	Gudow	2004	75	98	47.78
Sca004	T	Gudow	2004	76	95	60.22
Sca004	N	Irlbach	2004	76	55	38.3629
Sca004	T	Irlbach	2004	75	65	53.6532
Sca004	N	Morgenrot	2004	75	108	51.088
Sca004	T	Morgenrot	2004	77	106	54.714
Sca005	N	Diko	2003	74	83	58.8833
Sca005	T	Diko	2003	75	70	46.6667
Sca005	N	Gudow	2003	75	88	68.125
Sca005	T	Gudow	2003	75	68	44.625
Sca005	N	Irlbach	2003	66	45	45.32967033
Sca005	T	Irlbach	2003	67	50	50.36630037
Sca005	N	Morgenrot	2003	72	82	59.7
Sca005	T	Morgenrot	2003	77	78	61.108
Sca005	N	Diko	2004	78	90	73.625
Sca005	T	Diko	2004	80	88	70.045
Sca005	N	Gudow	2004	73	87	65.11
Sca005	T	Gudow	2004	73	84	66.67
Sca005	N	Irlbach	2004	76	60	58.1395
Sca005	T	Irlbach	2004	73	60	64.9149
Sca005	N	Morgenrot	2004	72	96	74.132
Sca005	T	Morgenrot	2004	77	95	71.994
Sca006	N	Diko	2003	74	85	38.4333
Sca006	T	Diko	2003	73	72	29.3333
Sca006	N	Gudow	2003	78	112	53.125
Sca006	T	Gudow	2003	75	82	48.625
Sca006	N	Irlbach	2003	67	60	31.68498168
Sca006	T	Irlbach	2003	67	60	38.0952381
Sca006	N	Morgenrot	2003	66	113	40.616
Sca006	T	Morgenrot	2003	65	113	43.306
Sca006	N	Diko	2004	80	93	57.0067
Sca006	T	Diko	2004	82	98	62.4317
Sca006	N	Gudow	2004	75	108	54.33
Sca006	T	Gudow	2004	76	100	67.22
Sca006	N	Irlbach	2004	77	55	30.1227
Sca006	T	Irlbach	2004	75	65	52.5545
Sca006	N	Morgenrot	2004	74	116	53.316
Sca006	T	Morgenrot	2004	78	110	46.83
Sca007	N	Diko	2003	71	105	51.2
Sca007	T	Diko	2003	70	95	44.1667
Sca007	N	Gudow	2003	71	102	37.625
Sca007	T	Gudow	2003	71	98	29.75
Sca007	N	Irlbach	2003	63	60	38.64468864
Sca007	T	Irlbach	2003	66	60	38.36996337
Sca007	N	Morgenrot	2003	64	115	45.88
Sca007	T	Morgenrot	2003	66	114	47.394
Sca007	N	Diko	2004	70	113.3	47.5833
Sca007	T	Diko	2004	71	113.7	51.8317
Sca007	N	Gudow	2004	69	104	40.56
Sca007	T	Gudow	2004	69	101	44.89
Sca007	N	Irlbach	2004	71	75	37.2642
Sca007	T	Irlbach	2004	68	95	49.8993
Sca007	N	Morgenrot	2004	67	114	46.158
