Gid	Protein content	Amylose content	Flag leaf length	Flag leaf width	Panicle number per plant	Plant height	Panicle length	Primary panicle branch number	Seed number per panicle	Florets per panicle	Panicle fertility	Seed length	Seed width	Seed volume	Seed surface area	Straighthead suseptability 
NSFTV_1	8.45	15.61333333	28.375	1.283333333	3.068052935	110.9166667	20.48181818	9.272727273	4.785975442	4.914658225	0.879	8.064116667	3.685183333	2.587447569	3.914120138	4.833333334
NSFTV_3	9.2	23.26	39.00833333	1	4.051784948	143.5	26.83333333	9.166666667	4.439705746	4.727387819	0.75	7.705383333	2.951458333	2.111145089	3.658708865	7.831666667
NSFTV_4	8	23.12	27.68333333	1.516666667	3.124565145	128.0833333	23.53333333	8.666666667	5.07970897	5.146436835	0.935	8.237575	2.926366667	2.154758678	3.713855969	NA
NSFTV_5	9.6	19.32333333	30.41666667	0.891666667	3.697178257	153.75	28.96363636	6.363636364	4.523960131	4.730921391	0.813	9.709375	2.3821	1.94022138	3.700053664	8.333333334
NSFTV_6	8.5	23.24	36.90833333	1.75	2.857427602	148.3333333	30.91666667	11.16666667	5.538645743	5.676468373	0.871	7.118183333	3.281891667	2.202359519	3.657370297	8.166666667
NSFTV_7	11.75	20.18666667	36.99	1.55	2.859021228	119.6	24.625	13.33333333	5.338018733	5.43590303	0.907	7.347254545	2.528890909	1.774465329	3.474791087	8.585
NSFTV_8	8.7	22.195	41.95	1.858333333	2.621038824	147.4166667	31.5	12.22222222	5.54691205	5.794705943	0.781	8.572091667	2.654675	2.044537332	3.691182217	6.998333334
NSFTV_9	9.9	22.56333333	24.425	1.2125	2.924504764	128.875	20.2	7.875	4.620058798	4.739482524	0.887	7.679875	3.3821875	2.352660146	3.768963219	7.168333334
NSFTV_10	9.5	15.09666667	27.9	1	3.650658241	83	22.16666667	10.33333333	4.110873864	4.733270189	0.537	7.859	3.23325	2.265360786	3.729249146	3.33
NSFTV_11	NA	22.76333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
NSFTV_13	8.05	25.255	37.875	1.225	3.493134877	135.1666667	25.49	8.6	4.907494535	5.017279837	0.896	8.36956	2.73408	2.007076473	3.639387431	NA
NSFTV_14	NA	17.27	30.23333333	0.911111111	3.753417975	117.8888889	28.85	10.83333333	4.578569504	5.01146828	0.649	9.3015125	2.3113625	1.845853006	3.626343926	6.335
NSFTV_15	7.5	17.705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.33
NSFTV_16	9.65	20.88666667	29.98888889	0.966666667	3.431295413	161.8333333	30.575	8.875	4.738145869	4.890349128	0.859	9.964958333	2.43615	2.003931947	3.742286721	8.001666667
NSFTV_17	9.2	13.93	19	1.2	3.526360525	88	20.26666667	9.666666667	5.036952602	5.105945474	0.933	6.897466667	2.970766667	2.022906463	3.563556187	8.33
NSFTV_18	7.95	26.32333333	32.76666667	0.991666667	3.858973784	132	24.75555556	8	4.774529304	4.821746767	0.954	7.658116667	2.88365	2.045003208	3.621436051	NA
NSFTV_20	8.55	17.81666667	33.43333333	1.491666667	2.713590381	130.5	24.35454545	12.81818182	5.443597652	5.551196227	0.898	8.209158333	3.293458333	2.362247684	3.811149261	6.835
NSFTV_22	8.7	23.25	43.53333333	1.6	2.512305624	120.6666667	29.6	13.66666667	5.497168225	5.631211782	0.875	8.6127	3.452566667	2.509181831	3.905614515	6.33
