Gid	ARK	Fad	Abr
NSFTV_1	75.08333333	64	81
NSFTV_10	89	55	74
NSFTV_100	84.11111111	78	122
NSFTV_101	86.16666667	79	88
NSFTV_102	92.22696	73.58621	165
NSFTV_103	84	78	108
NSFTV_104	77.5	70	74
NSFTV_105	80.5	80	81
NSFTV_106	102.8333333	75	108
NSFTV_107	81.41666667	46	74
NSFTV_108	102.1666667	74	119
NSFTV_109	92.22696	64	81
NSFTV_11	92.22696	73.58621	96.48077
NSFTV_110	150.5	72	145
NSFTV_111	98	84	114
NSFTV_112	97	78	178
NSFTV_113	59	53	49
NSFTV_114	84.58333333	80	122
NSFTV_115	105	65	108
NSFTV_116	91.08333333	80	111
NSFTV_117	82.75	77	77
NSFTV_118	73.33333333	65	85
NSFTV_119	114	73.58621	149
NSFTV_12	101.8333333	69.42857	175
NSFTV_120	92.91666667	79	114
NSFTV_121	84.16666667	66	126
NSFTV_122	107.1111111	76	149
NSFTV_123	92	80	88
NSFTV_124	89.92177	69.42857	108.64286
NSFTV_125	92.75	80	88
NSFTV_126	100	73.58621	222
NSFTV_128	81.25	71.27119	108
NSFTV_129	88.83333333	77	88
NSFTV_13	100.3333333	73	94
NSFTV_130	87.75	76	81
NSFTV_131	80.77777778	68	91
NSFTV_132	104.8333333	80	117
NSFTV_133	89.625	71.27119	201
NSFTV_134	81.6	66	88
NSFTV_135	93.16666667	78	101
NSFTV_136	92.22696	73.58621	96.48077
NSFTV_137	82.33333333	69	77
NSFTV_138	92.22696	73.58621	165
NSFTV_139	89.6	78	114
NSFTV_14	97	75	178
NSFTV_140	82.45454545	64	88
NSFTV_141	100.5	76	149
NSFTV_142	111.8888889	97	165
NSFTV_143	96.33333333	71.27119	209
NSFTV_144	83.92355	71.27119	206
NSFTV_145	97	73.58621	235
NSFTV_146	92.22696	73.58621	96.48077
NSFTV_147	106.8	80	147
NSFTV_148	92.22696	73.58621	263
NSFTV_149	104	79	129
NSFTV_15	83.92355	71.27119	98.70056
NSFTV_150	83.7	79	114
NSFTV_151	90.4	71.27119	223
NSFTV_152	83.16666667	64	93
NSFTV_153	84.25	78	93
NSFTV_154	76.91666667	64	92
NSFTV_155	82.5	77	93
NSFTV_156	93.83333333	80	107
NSFTV_157	88	80	143
NSFTV_158	90	71.27119	147
NSFTV_159	92.22696	73.58621	96.48077
NSFTV_16	90.25	65	112
NSFTV_160	82.83333333	67	107
NSFTV_161	97.25	73.58621	113
NSFTV_162	111	78	116
NSFTV_163	102.75	96	148
NSFTV_164	104.8333333	72	133
NSFTV_165	85	77	97
NSFTV_166	104.0833333	78	100
NSFTV_167	88.08333333	71	83
NSFTV_168	101.0833333	78	113
NSFTV_169	85.75	77	102
NSFTV_17	83	73.58621	93
NSFTV_170	86	77	83
NSFTV_171	70.66666667	60	76
NSFTV_172	73.5	66	76
NSFTV_173	90.33333333	71.27119	80
NSFTV_174	101.0833333	78	118
NSFTV_175	83.92355	78	95
NSFTV_176	98.85714286	91	157
NSFTV_177	76	65	76
NSFTV_178	88	78	80
NSFTV_179	71.83333333	66	70
NSFTV_18	98.83333333	67	129
NSFTV_180	79.41666667	67	123
NSFTV_181	107.2222222	71.27119	217
NSFTV_182	107.3333333	71.27119	211
NSFTV_183	94	76	118
NSFTV_184	83.75	66	141
NSFTV_185	92.5	73	105
NSFTV_186	87.5	79	144
NSFTV_187	76.33333333	77	87
NSFTV_188	101.5	72	148
NSFTV_189	79.75	77	82
NSFTV_19	84.66666667	50	77
NSFTV_190	111.5	80	176
NSFTV_191	82.75	61	105
NSFTV_192	55.75	55	52
NSFTV_193	101.5	66	142
NSFTV_194	89.92177	69.42857	306
NSFTV_195	92	79	107
NSFTV_196	116	73.58621	259
NSFTV_197	125	71.27119	98.70056
NSFTV_198	84.75	75	100
NSFTV_199	91.75	78	84
NSFTV_20	104	71.27119	198
NSFTV_200	103.75	76	98
NSFTV_201	105.6666667	67	132
NSFTV_202	93	71	113
NSFTV_203	81.83333333	76	80
NSFTV_204	76.75	76	87
NSFTV_205	78.25	66	100
