Height,AF043094A,BMS2,BMS64,Bmac163,Bmac29,Bmac316,Bmac32,Bmac40,Bmag105,Bmag11,Bmag120,Bmag125,Bmag135,Bmag149,Bmag206,Bmag211,Bmag222,Bmag223,Bmag321,Bmag337,Bmag357,Bmag381,Bmag603,Bmag613,Bmag7,EBmac415,EBmac603,EBmac624,EBmac635,EBmac679,EBmac684,EBmac701,EBmac705,EBmac755,EBmac775,EBmac788,GBM1007,GBM1008,GBM1015,GBM1016,GBM1022,GBM1035,GBM1042,GBM1043,GBM1049,GBM1052,GBM1061,GBMS12,GBMS143,GMS116,GMS21,GMS3,GMS46,GMS56,GMS6,GMS61,GMS89,HDAMYB,HV13GEIII,HVA22S,HVABAIP,HVACL3,HVALAAT,HVB23D,HVCHI26A,HVGLUEND,HVITR1,HVJASIP,HVKNOX3,HVLTPPB,HVM13,HVM20,HVM33,HVM36,HVM40,HVM49,HVM54,HVM60,HVM62,HVM67,HVM74,HVOLE,HVPAZXG,HVSS1,HVTUB,HvCNX1,HvCO1,HvCO2,HvFT2,HvFT3,HvFT4,HvGI,HvGOGAT,HvNAM1,HvNAM2,MGB317,MGB325,MGB334,MGB338,MGB357,MGB358,MGB384,MGB391,MGB396,MGB402,MGB410,Mla12,Mlo,PpdH1,S53707,TACMD,VrnH1,VrnH2,VrnH3,bPb_0003,bPb_0071,bPb_0094,bPb_0108,bPb_0136,bPb_0171,bPb_0179,bPb_0202,bPb_0299,bPb_0353,bPb_0361,bPb_0364,bPb_0366,bPb_0405,bPb_0432,bPb_0443,bPb_0451,bPb_0482,bPb_0589,bPb_0699,bPb_0789,bPb_0799,bPb_0837,bPb_1009,bPb_1066,bPb_1072,bPb_1077,bPb_1176,bPb_1213,bPb_1217,bPb_1241,bPb_1256,bPb_1318,bPb_1336,bPb_1366,bPb_1408,bPb_1411,bPb_1469,bPb_1481,bPb_1487,bPb_1579,bPb_1604,bPb_1609,bPb_1657,bPb_1681,bPb_1719,bPb_1770,bPb_1793,bPb_1815,bPb_1882,bPb_1926,bPb_1940,bPb_2040,bPb_2054,bPb_2137,bPb_2188,bPb_2225,bPb_2230,bPb_2240,bPb_2304,bPb_2378,bPb_2420,bPb_2464,bPb_2497,bPb_2751,bPb_2862,bPb_2888,bPb_2993,bPb_3020,bPb_3025,bPb_3050,bPb_3056,bPb_3102,bPb_3138,bPb_3217,bPb_3278,bPb_3330,bPb_3419,bPb_3427,bPb_3506,bPb_3512,bPb_3563,bPb_3605,bPb_3689,bPb_3717,bPb_3722,bPb_3732,bPb_3739,bPb_3746,bPb_3776,bPb_3780,bPb_3895,bPb_3910,bPb_3945,bPb_4040,bPb_4092,bPb_4125,bPb_4135,bPb_4209,bPb_4216,bPb_4219,bPb_4246,bPb_4261,bPb_4285,bPb_4389,bPb_4472,bPb_4515,bPb_4531,bPb_4564,bPb_4577,bPb_4597,bPb_4616,bPb_4628,bPb_4634,bPb_4699,bPb_4721,bPb_4758,bPb_4768,bPb_4821,bPb_5012,bPb_5014,bPb_5129,bPb_5191,bPb_5198,bPb_5201,bPb_5238,bPb_5259,bPb_5260,bPb_5265,bPb_5290,bPb_5334,bPb_5339,bPb_5403,bPb_5480,bPb_5494,bPb_5558,bPb_5596,bPb_5769,bPb_5771,bPb_5845,bPb_5864,bPb_5903,bPb_6002,bPb_6088,bPb_6126,bPb_6128,bPb_6200,bPb_6228,bPb_6238,bPb_6318,bPb_6347,bPb_6363,bPb_6367,bPb_6384,bPb_6466,bPb_6477,bPb_6502,bPb_6640,bPb_6676,bPb_6701,bPb_6706,bPb_6721,bPb_6727,bPb_6911,bPb_6938,bPb_6967,bPb_7137,bPb_7146,bPb_7164,bPb_7179,bPb_7247,bPb_7287,bPb_7306,bPb_7313,bPb_7517,bPb_7609,bPb_7719,bPb_7723,bPb_7724,bPb_7763,bPb_7816,bPb_7827,bPb_7852,bPb_7863,bPb_7877,bPb_7899,bPb_7906,bPb_7915,bPb_7938,bPb_7987,bPb_7989,bPb_7991,bPb_7998,bPb_8013,bPb_8015,bPb_8038,bPb_8043,bPb_8109,bPb_8112,bPb_8135,bPb_8143,bPb_8161,bPb_8255,bPb_8283,bPb_8292,bPb_8321,bPb_8399,bPb_8419,bPb_8437,bPb_8464,bPb_8524,bPb_8557,bPb_8558,bPb_8568,bPb_8660,bPb_8690,bPb_8698,bPb_8701,bPb_8754,bPb_8779,bPb_8833,bPb_8962,bPb_9065,bPb_9104,bPb_9110,bPb_9111,bPb_9304,bPb_9327,bPb_9563,bPb_9583,bPb_9608,bPb_9618,bPb_9660,bPb_9668,bPb_9681,bPb_9696,bPb_9717,bPb_9729,bPb_9746,bPb_9753,bPb_9754,bPb_9757,bPb_9817,bPb_9820,bPb_9859,bPb_9890,bPb_9898,bPb_9908,bPb_9914,bPb_9945
,5,5,7,5,3,6,1,6,1,7,7,2,7,1,7,1,5,5,7,5,5,2,3,6,7,2,7,6,4,4,2,4,3,7,4,4,1,6,4,2,6,2,1,3,6,2,1,1,1,3,1,2,7,7,6,5,4,4,3,7,1,7,1,4,7,1,3,4,4,3,4,1,3,2,4,7,2,3,3,4,6,4,4,7,2,2,7,6,3,1,2,3,2,6,2,7,1,2,5,5,3,5,2,4,1,3,1,4,2,1,4,5,4,7,2,5,3,7,3,5,7,7,2,3,3,7,7,1,6,6,6,1,1,1,3,5,5,6,2,2,3,6,1,5,5,6,1,7,1,4,3,4,3,1,3,1,3,6,3,5,7,7,2,1,2,1,3,6,6,7,2,2,1,6,5,3,6,5,6,1,3,3,7,3,2,2,2,5,1,3,7,7,6,7,4,2,1,3,4,6,7,4,6,1,6,6,5,5,2,2,6,5,3,4,7,6,2,2,7,3,1,1,3,2,7,3,3,7,4,5,5,2,2,3,1,3,2,1,1,5,7,7,4,1,1,1,7,4,7,2,5,7,3,5,3,6,6,2,5,2,1,3,1,1,3,5,5,7,2,6,1,4,5,7,7,6,6,1,4,5,1,6,3,6,3,5,1,6,7,1,4,2,3,5,2,3,5,7,6,1,2,7,3,4,3,2,6,4,3,2,7,7,1,6,2,7,2,3,2,3,2,3,4,2,7,3,7,7,7,7,2,4,5,2,7,3,6,7,3,3,4,5,7,3,1,5,5,4,2,6,1,7,3,7,2,2,6,4,4,6,7,7,7,3
,156.00,45.00,100.30,48.80,176.00,4.30,77.60,120.00,63.50,87.50,107.00,95.40,165.00,63.20,16.00,62.70,160.00,83.00,87.20,59.40,68.00,95.00,66.00,75.00,16.00,131.00,36.50,68.20,131.00,132.00,74.44,130.00,20.00,138.80,80.00,115.00,28.00,100.00,136.00,125.00,110.00,27.00,40.53,100.70,55.00,42.00,125.00,134.00,162.00,84.00,21.10,79.60,93.00,100.00,65.20,131.50,57.00,146.90,150.00,82.50,116.00,90.00,62.50,25.00,159.20,70.00,35.00,139.00,31.00,20.00,55.00,62.60,83.00,26.50,18.00,159.19,129.20,87.90,155.50,140.00,70.00,21.00,44.00,68.00,73.00,135.00,82.00,90.00,64.00,115.00,66.00,63.00,65.00,63.00,74.00,116.00,62.90,150.00,95.00,168.00,156.00,33.00,64.00,100.00,0.00,65.00,38.50,127.50,41.10,23.00,125.00,125.10,141.00,42.50,25.73,126.77,69.28,0.47,181.32,159.94,16.21,106.63,157.13,84.38,165.54,136.56,58.02,7.21,91.99,137.67,97.19,55.37,141.24,144.19,148.83,174.05,18.03,13.83,139.75,70.03,19.95,128.12,95.02,184.45,99.89,74.34,13.14,141.81,95.08,60.04,160.19,14.60,145.41,147.25,115.50,55.77,140.29,68.22,87.77,173.71,84.95,137.20,146.58,133.12,102.12,135.06,66.55,122.73,142.51,87.11,67.35,60.45,123.09,136.06,82.89,147.05,63.75,84.17,14.35,4.30,149.85,51.59,159.21,9.88,30.24,70.81,160.39,166.59,40.53,100.76,91.33,123.08,38.04,101.20,67.92,102.38,62.23,7.57,148.58,68.53,3.48,96.31,60.92,10.47,3.55,98.71,133.48,136.18,82.13,146.64,84.81,43.50,111.69,69.66,73.89,19.42,44.79,3.54,125.40,1.48,106.22,60.21,142.75,108.72,68.80,105.89,175.24,16.81,17.35,84.17,126.53,139.57,35.81,69.77,116.46,146.78,5.03,116.46,141.29,159.45,3.02,115.56,145.10,64.89,67.88,76.78,159.05,72.21,35.22,150.10,101.34,28.28,69.25,138.99,170.69,84.64,50.06,81.70,106.85,26.24,133.65,147.95,7.48,4.83,55.63,36.10,157.35,100.50,7.59,107.69,139.60,60.55,81.39,159.19,58.17,72.71,134.08,94.90,12.96,94.96,11.74,137.76,157.98,58.56,178.50,58.38,19.11,2.60,94.17,82.15,96.78,163.34,179.49,70.99,139.03,148.34,73.65,17.48,128.23,86.30,47.38,87.55,51.44,72.27,50.44,101.27,38.16,86.69,84.89,38.97,17.00,101.87,140.85,9.10,98.21,2.22,149.44,69.61,27.07,70.36,25.73,153.55,60.04,138.23,58.02,147.95,7.52,68.67,34.97,87.39,161.12,93.64,182.99,77.41,147.17,178.60,9.75,127.40,118.72,141.94,12.67,34.65,149.40,5.97,11.54,70.75,186.98,145.02,5.27,147.09,58.69,0.50,54.80,82.61,82.77,14.40,143.80,142.09,123.25,143.98,48.62,111.69,103.37,10.20
72.00,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0
69.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
71.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
77.00,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1
74.00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75.00,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
71.00,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
70.00,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
